片名,导演演员信息,发行日期,国家/地区,评分,评论
人工智能,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:海利·乔·奥斯蒙Haley...,2001 , 美国 ,8.6,对爱的执着，可以超越一切。
时空恋旅人,导演:理查德·柯蒂斯RichardCurtis   主演:多姆纳尔·格利森DomhnallGl...,2013 , 英国 ,8.6,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
超能陆战队,导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams   主演:斯科特...,2014 , 美国 ,8.6,Balalala~~~
唐伯虎点秋香,导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈...,1993 , 香港 ,8.4,华太师是黄霑，吴镇宇四大才子之一。
浪潮,导演:丹尼斯·甘塞尔DennisGansel   主演:尤尔根·沃格尔JürgenVogel...,2008 , 德国 ,8.7,世界离独裁只有五天。
冰川时代,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge   主演...,2002 , 美国 ,8.4,松鼠才是角儿。
香水,导演:汤姆·提克威TomTykwer   主演:本·卫肖BenWhishaw/艾伦·瑞克...,2006 , 德国 法国 西班牙 美国 ,8.4,一个单凭体香达到高潮的男人。
蝙蝠侠：黑暗骑士崛起,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...,2012 , 美国 英国 ,8.6,诺兰就是保证。
朗读者,导演:史蒂芬·戴德利StephenDaldry   主演:凯特·温丝莱特KateWinslet...,2008 , 美国 德国 ,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
心迷宫,导演:忻钰坤YukunXin   主演:霍卫民WeiminHuo/王笑天XiaotianWang...,2014 , 中国大陆 ,8.6,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
追随,导演:克里斯托弗·诺兰ChristopherNolan   主演:杰里米·西奥伯德Jeremy...,1998 , 英国 ,8.9,诺兰的牛逼来源于内心散发出的恐惧。
罗生门,导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/千秋实...,1950 , 日本 ,8.7,人生的N种可能性。
撞车,导演:保罗·哈吉斯PaulHaggis   主演:桑德拉·布洛克SandraBullock/...,2004 , 美国 德国 ,8.6,天使与魔鬼的冲撞。
一次别离,导演:阿斯哈·法哈蒂AsgharFarhadi   主演:佩曼·莫阿迪PeymanMoadi/...,2011 , 伊朗 法国 ,8.7,只有有信仰的人才能说出事实真相。
可可西里,导演:陆川ChuanLu   主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...,2004 , 中国大陆 香港 ,8.7,坚硬的信仰。
未麻的部屋,导演:今敏SatoshiKon   主演:岩男润子JunkoIwao/松本梨香RicaMatsu...,1997 , 日本 ,8.8,好的剧本是，就算你猜到了结局也猜不到全部。
爆裂鼓手,导演:达米安·沙泽勒DamienChazelle   主演:迈尔斯·特勒MilesTeller/...,2014 , 美国 ,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
战争之王,导演:安德鲁·尼科尔AndrewNiccol   主演:尼古拉斯·凯奇NicolasCage/...,2005 , 美国 法国 ,8.5,做一颗让别人需要你的棋子。
地球上的星星,导演:阿米尔·汗AamirKhan   主演:达席尔·萨法瑞DarsheelSafary/阿...,2007 , 印度 ,8.8,天使保护事件始末。
梦之安魂曲,导演:达伦·阿伦诺夫斯基DarrenAronofsky   主演:艾伦·伯斯汀EllenBur...,2000 , 美国 ,8.7,一场没有春天的噩梦。
恐怖游轮,导演:克里斯托弗·史密斯ChristopherSmith   主演:梅利莎·乔治Melissa...,2009 , 英国 澳大利亚 ,8.3,不要企图在重复中寻找已经失去的爱。
达拉斯买家俱乐部,导演:让-马克·瓦雷Jean-MarcVallée   主演:马修·麦康纳MatthewMcCon...,2013 , 美国 ,8.6,Jared Leto的腿比女人还美！
碧海蓝天,导演:LucBesson   主演:让-马克·巴尔Jean-MarcBarr/让·雷诺JeanRe...,1988 , 法国 美国 意大利 ,8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
阿飞正传,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC...,1990 , 香港 ,8.5,王家卫是一种风格，张国荣是一个代表。
牯岭街少年杀人事件,导演:杨德昌EdwardYang   主演:张震ChenChang/杨静怡LisaYang/张...,1991 , 台湾 ,8.7,弱者送给弱者的一刀。
被解救的姜戈,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:杰米·福克斯JamieFoxx/...,2012 , 美国 ,8.5,热血沸腾，那个低俗、性感的无耻混蛋又来了。
谍影重重2,导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...,2004 , 美国 德国 ,8.5,谁说王家卫镜头很晃？
谍影重重,导演:道格·里曼DougLiman   主演:马特·达蒙MattDamon/弗兰卡·波坦...,2002 , 美国 德国 捷克 ,8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
魔女宅急便,导演:宫崎骏HayaoMiyazaki   主演:高山南MinamiTakayama/佐久间玲Re...,1989 , 日本 ,8.5,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
秒速5厘米,导演:新海诚MakotoShinkai   主演:水桥研二KenjiMizuhashi/近藤好美...,2007 , 日本 ,8.3,青春就是放弃和怀念。
惊魂记,导演:AlfredHitchcock   主演:JanetLeigh/AnthonyPerkins/VeraMiles,1960 , 美国 ,8.9,故事的反转与反转，分裂电影的始祖。
忠犬八公物语,导演:SeijirôKôyama   主演:山本圭KeiYamamoto/井川比佐志Hisa...,1987 , 日本 ,9.0,养狗三日，便会对你终其一生。
再次出发之纽约遇见你,导演:约翰·卡尼JohnCarney   主演:凯拉·奈特莉KeiraKnightley/马克...,2013 , 美国 ,8.5,爱我就给我看你的播放列表。
海盗电台,导演:理查德·柯蒂斯RichardCurtis   主演:比尔·奈伊BillNighy/肯尼...,2009 , 英国 德国 法国 ,8.6,生命不止，摇滚不死。
青蛇,导演:徐克HarkTsui   主演:张曼玉MaggieCheung/王祖贤JoeyWang/...,1993 , 香港 ,8.4,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
东京物语,导演:小津安二郎YasujirôOzu   主演:笠智众ChishûRyû/原节...,1953 , 日本 ,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
哪吒闹海,导演:严定宪DingxianYan/王树忱ShuchenWang   主演:梁正晖Zhenghui...,1979 , 中国大陆 ,8.9,想你时你在闹海。
绿里奇迹,导演:FrankDarabont   主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...,1999 , 美国 ,8.7,天使暂时离开。
末路狂花,导演:雷德利·斯科特RidleyScott   主演:吉娜·戴维斯GeenaDavis/苏...,1991 , 美国 法国 ,8.7,没有了退路，只好飞向自由。
勇闯夺命岛,导演:迈克尔·贝MichaelBay   主演:肖恩·康纳利SeanConnery/尼古拉...,1996 , 美国 ,8.5,类型片的极致。 
终结者2：审判日,导演:詹姆斯·卡梅隆JamesCameron   主演:阿诺·施瓦辛格ArnoldSchwarz...,1991 , 美国 法国 ,8.6,少见的超越首部的续集，动作片中的经典。
这个男人来自地球,导演:理查德·沙因克曼RichardSchenkman   主演:大卫·李·史密斯David...,2007 , 美国 ,8.5,科幻真正的魅力不是视觉效果能取代的。 
头脑特工队,导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen  &nb...,2015 , 美国 ,8.7,愿我们都不用长大，每一座城堡都能永远存在。
源代码,导演:邓肯·琼斯DuncanJones   主演:杰克·吉伦哈尔JakeGyllenhaal/...,2011 , 美国 加拿大 ,8.3,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
卡萨布兰卡,导演:MichaelCurtiz   主演:亨弗莱·鲍嘉HumphreyBogart/英格丽·褒曼...,1942 , 美国 ,8.6,与同名歌曲无关。
新龙门客栈,导演:李惠民RaymondLee   主演:张曼玉MaggieCheung/林青霞Brigitte...,1992 , 香港 中国大陆 ,8.5,嬉笑怒骂，调风动月。
荒野生存,导演:西恩·潘SeanPenn   主演:埃米尔·赫斯基EmileHirsch/马西娅·...,2007 , 美国 ,8.6,出门必备：本草纲目。
迁徙的鸟,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...,2001 , 法国 德国 意大利 西班牙 瑞士 ,9.1,最美的飞翔。
黑客帝国3：矩阵革命,导演:AndyWachowski/LarryWachowski   主演:KeanuReeves/LaurenceF...,2003 , 美国 澳大利亚 ,8.5,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
房间,导演:伦尼·阿伯拉罕森LennyAbrahamson   主演:布丽·拉尔森BrieLarson...,2015 , 爱尔兰 加拿大 英国 美国 ,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
变脸,导演:吴宇森JohnWoo   主演:约翰·特拉沃尔塔JohnTravolta/尼古拉斯...,1997 , 美国 ,8.4,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
城市之光,导演:CharlesChaplin   主演:查理·卓别林CharlesChaplin/弗吉尼亚·...,1931 , 美国 ,9.2,永远的小人物，伟大的卓别林。
模仿游戏,导演:莫腾·泰杜姆MortenTyldum   主演:本尼迪克特·康伯巴奇BenedictC...,2014 , 英国 美国 ,8.5,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
E.T. 外星人,导演:StevenSpielberg   主演:HenryThomas/DeeWallace/RobertMacNa...,1982 , 美国 ,8.5,生病的E.T.皮肤的颜色就像柿子饼。
美国丽人,导演:萨姆·门德斯SamMendes   主演:凯文·史派西KevinSpacey/安妮特...,1999 , 美国 ,8.4,每个人的内心都是深不可测的大海。 
发条橙,导演:StanleyKubrick   主演:MalcolmMcDowell/PatrickMagee/Michael...,1971 , 英国 美国 ,8.4,我完全康复了。
黄金三镖客,导演:SergioLeone   主演:ClintEastwood/EliWallach/LeeVanCleef,1966 , 意大利 西班牙 西德 ,9.1,最棒的西部片。
燕尾蝶,导演:岩井俊二ShunjiIwai   主演:恰拉Chara/伊藤步AyumiIto/三上...,1996 , 日本 ,8.6,现实与童话交相辉映的旅程。
英国病人,导演:安东尼·明格拉AnthonyMinghella   主演:拉尔夫·费因斯RalphFien...,1996 , 美国 英国 ,8.4,"In memory, love lives forever..."
无耻混蛋,导演:QuentinTarantino   主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...,2009 , 美国 德国 ,8.4,昆汀同学越来越变态了，比北野武还杜琪峰。
初恋这件小事,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...,2010 , 泰国 ,8.3,黑小鸭速效美白记。
叫我第一名,导演:彼得·维纳PeterWerner   主演:詹姆斯·沃克JamesWolk/特里特·...,2008 , 美国 ,8.6,乐观比一切都有力量。
非常嫌疑犯,导演:布莱恩·辛格BryanSinger   主演:史蒂芬·鲍德温StephenBaldwin/...,1995 , 德国 美国 ,8.6,我不信仰上帝，但我敬畏上帝。
穆赫兰道,导演:大卫·林奇DavidLynch   主演:娜奥米·沃茨NaomiWatts/劳拉·哈...,2001 , 法国 美国 ,8.3,大卫·林奇的梦境迷宫。
爱在午夜降临前,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...,2013 , 美国 ,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
勇士,导演:加文·欧康诺GavinO'Connor   主演:汤姆·哈迪TomHardy/乔尔·...,2011 , 美国 ,8.9,热血沸腾，相当完美的娱乐拳击大餐。
一个叫欧维的男人决定去死,导演:汉内斯·赫尔姆HannesHolm   主演:罗夫·拉斯加德RolfLassgård...,2015 , 瑞典 ,8.7,惠及一生的美丽。
上帝也疯狂,导演:JamieUys   主演:MariusWeyers/SandraPrinsloo/N!xau,1980 , 博茨瓦纳 南非 ,8.6,纯净原始的笑与感动。
无敌破坏王,导演:瑞奇·莫尔RichMoore   主演:约翰·C·赖利JohnC.Reilly/萨拉...,2012 , 美国 ,8.6,迪士尼和皮克斯拿错剧本的产物。
疯狂的石头,导演:宁浩HaoNing   主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin,2006 , 中国大陆 香港 ,8.2,中国版《两杆大烟枪》。
国王的演讲,导演:汤姆·霍珀TomHooper   主演:柯林·菲尔斯ColinFirth/杰弗里·...,2010 , 英国 澳大利亚 美国 ,8.3,皇上无话儿。
血钻,导演:爱德华·兹威克EdwardZwick   主演:莱昂纳多·迪卡普里奥Leonardo...,2006 , 美国 德国 ,8.5,每个美丽事物背后都是滴血的现实。
你的名字。,导演:新海诚MakotoShinkai   主演:神木隆之介RyûnosukeKamiki/上...,2016 , 日本 ,8.4,None
蓝色大门,导演:易智言Chih-yenYee   主演:陈柏霖Bo-linChen/桂纶镁LunmeiKwa...,2002 , 台湾 法国 ,8.3,青春的窃窃私语。 
无人知晓,导演:是枝裕和HirokazuKoreeda   主演:柳乐优弥YûyaYagira/北浦爱...,2004 , 日本 ,9.0,我的平常生活就是他人的幸福。
枪火,导演:杜琪峰JohnnieTo   主演:吴镇宇FrancisNg/任达华SimonYam/...,1999 , 香港 ,8.6,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
步履不停,导演:是枝裕和HirokazuKoreeda   主演:阿部宽HiroshiAbe/夏川结衣Yu...,2008 , 日本 ,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
大卫·戈尔的一生,导演:AlanParker   主演:凯文·史派西KevinSpacey/凯特·温丝莱特Kat...,2003 , 美国 德国 英国 ,8.6,捍卫人权只是信仰，一点不妨碍其行为的残忍。
爱·回家,导演:李廷香Jeong-hyangLee   主演:金艺芬Eul-boonKim/俞承豪Seung-...,2002 , 韩国 ,9.0,献给所有外婆的电影。
遗愿清单,导演:罗伯·莱纳RobReiner   主演:杰克·尼科尔森JackNicholson/摩根...,2007 , 美国 ,8.5,用剩余不多的时间，去燃烧整个生命。
彗星来的那一夜,导演:詹姆斯·沃德·布柯特JamesWardByrkit   主演:艾米丽·芭尔多尼Em...,2013 , 美国 英国 ,8.4,小成本大魅力。
千钧一发,导演:安德鲁·尼科尔AndrewNiccol   主演:伊桑·霍克EthanHawke/乌玛...,1997 , 美国 ,8.7,一部能引人思考的科幻励志片。
我爱你,导演:秋昌民Chang-minChoo   主演:宋在河Jae-hoSong/李顺载Soon-jae...,2011 , 韩国 ,9.0,你要相信，这世上真的有爱存在，不管在什么年纪 
荒岛余生,导演:罗伯特·泽米吉斯RobertZemeckis   主演:汤姆·汉克斯TomHanks/...,2000 , 美国 ,8.5,一个人的独角戏。
血战钢锯岭,导演:梅尔·吉布森MelGibson   主演:安德鲁·加菲尔德AndrewGarfield/...,2016 , 美国 澳大利亚 ,8.7,None
麦兜故事,导演:袁建滔ToeYuen   主演:李晋纬/林海峰JanLamb/吴君如SandraNg,2001 , 香港 ,8.5,麦兜是一只很哲学的猪。 
暖暖内含光,导演:米歇尔·冈瑞MichelGondry   主演:金·凯瑞JimCarrey/凯特·温...,2004 , 美国 ,8.4,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
曾经,导演:约翰·卡尼JohnCarney   主演:格伦·汉塞德GlenHansard/玛可塔...,2007 , 爱尔兰 ,8.3,有些幸福无关爱情。
月球,导演:邓肯·琼斯DuncanJones   主演:山姆·洛克威尔SamRockwell/凯文...,2009 , 英国 ,8.5,2009媲美《第九区》的又一部科幻神作。
蝴蝶,导演:菲利普·穆伊尔PhilippeMuyl   主演:米歇尔·塞罗MichelSerrault...,2002 , 法国 ,8.6,我们长途跋涉寻找的东西，有可能一直就在身边。 
巴黎淘气帮,导演:LaurentTirard   主演:马克西姆·戈达尔MaximeGodart/瓦莱丽·勒...,2009 , 法国 比利时 ,8.6,四百击的反面。
