片名,导演演员信息,发行日期,国家/地区,评分,评论
两杆大烟枪,导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran,1998 , 英国 ,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
窃听风暴,导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck   ...,2006 , 德国 ,9.1,别样人生。
飞越疯人院,导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...,1975 , 美国 ,9.0,自由万岁。
疯狂动物城,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·...,2016 , 美国 ,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
控方证人,导演:比利·怀尔德BillyWilder   主演:查尔斯·劳顿CharlesLaughton/...,1957 , 美国 ,9.6,比利·怀德满分作品。
闻香识女人,导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...,1992 , 美国 ,8.9,史上最美的探戈。
海豚湾,导演:LouiePsihoyos   主演:JohnChisholm/Mandy-RaeCruikshank/Char...,2009 , 美国 ,9.3,海豚的微笑，是世界上最高明的伪装。
哈尔的移动城堡,导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...,2004 , 日本 ,8.9,带着心爱的人在天空飞翔。
V字仇杀队,导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔莉·波特曼NataliePor...,2005 , 美国 英国 德国 ,8.8,一张面具背后的理想与革命。
教父2,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...,1974 , 美国 ,9.1,优雅的孤独。
辩护人,导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/吴达洙Dal-suO...,2013 , 韩国 ,9.1,电影的现实意义大过电影本身。
死亡诗社,导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...,1989 , 美国 ,8.9,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
美丽心灵,导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/詹妮弗·...,2001 , 美国 ,8.9,爱是一切逻辑和原由。
指环王2：双塔奇兵,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...,2002 , 美国 新西兰 ,9.0,承前启后的史诗篇章。
指环王1：魔戒再现,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...,2001 , 新西兰 美国 ,8.9,传说的开始。
情书,导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...,1995 , 日本 ,8.8,暗恋的极致。
饮食男女,导演:李安AngLee   主演:吴倩莲Chien-lienWu/杨贵媚Kuei-MeiYang/...,1994 , 台湾 美国 ,9.1,人生不能像做菜，把所有的料都准备好了才下锅。
美国往事,导演:赛尔乔·莱翁内SergioLeone   主演:罗伯特·德尼罗RobertDeNiro...,1984 , 意大利 美国 ,9.1,往事如烟，无处祭奠。
天使爱美丽,导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau...,2001 , 法国 德国 ,8.7,法式小清新。 
狮子王,导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...,1994 , 美国 ,8.9,动物版《哈姆雷特》。
钢琴家,导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...,2002 , 法国 德国 英国 波兰 ,9.0,音乐能化解仇恨。
七宗罪,导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...,1995 , 美国 ,8.7,警察抓小偷，老鼠玩死猫。
被嫌弃的松子的一生,导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...,2006 , 日本 ,8.9,以戏谑来戏谑戏谑。
小鞋子,导演:马基德·马基迪MajidMajidi   主演:AmirFarrokhHashemian/默罕...,1997 , 伊朗 ,9.2,奔跑的孩子是天使。
致命魔术,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...,2006 , 美国 英国 ,8.8,孪生蝙蝠侠大战克隆金刚狼。
素媛,导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...,2013 , 韩国 ,9.1,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
勇敢的心,导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...,1995 , 美国 ,8.8,史诗大片的典范。
音乐之声,导演:RobertWise   主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...,1965 , 美国 ,8.9,用音乐化解仇恨，让歌声串起美好。
剪刀手爱德华,导演:TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...,1990 , 美国 ,8.7,浪漫忧郁的成人童话。
本杰明·巴顿奇事,导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...,2008 , 美国 ,8.7,在时间之河里感受溺水之苦。
低俗小说,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...,1994 , 美国 ,8.8,故事的高级讲法。
西西里的美丽传说,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...,2000 , 意大利 美国 ,8.7,美丽无罪。
黑客帝国,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...,1999 , 美国 澳大利亚 ,8.8,视觉革命。
沉默的羔羊,导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...,1991 , 美国 ,8.7,安东尼·霍普金斯的顶级表演。
拯救大兵瑞恩,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...,1998 , 美国 ,8.9,美利坚精神输出大片No1.
入殓师,导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...,2008 , 日本 ,8.8,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
蝴蝶效应,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...,2004 , 美国 加拿大 ,8.7,人的命运被自己瞬间的抉择改变。
玛丽和马克思,导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette/菲利...,2009 , 澳大利亚 ,8.9,你是我最好的朋友，你是我唯一的朋友 。
让子弹飞,导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...,2010 , 中国大陆 香港 ,8.7,你给我翻译翻译，神马叫做TMD的惊喜。
春光乍泄,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu...,1997 , 香港 日本 韩国 ,8.8,爱情纠缠，男女一致。
大闹天宫,导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...,1961(中国大陆) , 1964(中国大陆) ,9.2,经典之作，历久弥新。
心灵捕手,导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...,1997 , 美国 ,8.8,人生中应该拥有这样的一段豁然开朗。
摔跤吧！爸爸,导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...,2016 , 印度 ,9.1,None
看不见的客人,导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...,2016 , 西班牙 ,8.7,你以为你以为的就是你以为的。
幽灵公主,导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合...,1997 , 日本 ,8.8,人与自然的战争史诗。
阳光灿烂的日子,导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao,1994 , 中国大陆 香港 ,8.7,一场华丽的意淫。
第六感,导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...,1999 , 美国 ,8.8,深入内心的恐怖，出人意料的结局。
重庆森林,导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...,1994 , 香港 ,8.7,寂寞没有期限。
末代皇帝,导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...,1987 , 意大利 中国大陆 英国 法国 ,8.9,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
大鱼,导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿...,2003 , 美国 ,8.7,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
禁闭岛,导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,2010 , 美国 ,8.6,昔日翩翩少年，今日大腹便便。
射雕英雄传之东成西就,导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...,1993 , 香港 ,8.7,百看不厌。 
狩猎,导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...,2012 , 丹麦 瑞典 ,9.0,人言可畏。
甜蜜蜜,导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...,1996 , 香港 ,8.8,相逢只要一瞬间，等待却像是一辈子。
布达佩斯大饭店,导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...,2014 , 美国 德国 英国 ,8.8,小清新的故事里注入了大历史的情怀。
一一,导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai...,2000 , 台湾 日本 ,8.9,我们都曾经是一一。
致命ID,导演:JamesMangold   主演:JohnCusack/RayLiotta/AmandaPeet,2003 , 美国 ,8.6,最不可能的那个人永远是最可能的。
阳光姐妹淘,导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...,2011 , 韩国 ,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
告白,导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...,2010 , 日本 ,8.7,没有一人完全善，也没有一人完全恶。
哈利·波特与魔法石,导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint,2001 , 美国 英国 ,8.7,童话世界的开端。
上帝之城,导演:KátiaLund/FernandoMeirelles   主演:AlexandreRodrigues/Lea...,2002 , 巴西 法国 ,8.9,被上帝抛弃了的上帝之城。
断背山,导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...,2005 , 美国 加拿大 ,8.6,每个人心中都有一座断背山。
加勒比海盗,导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...,2003 , 美国 ,8.6,约翰尼·德普的独角戏。
猫鼠游戏,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...,2002 , 美国 加拿大 ,8.7,骗子大师和执著警探的你追我跑故事。 
摩登时代,导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...,1936 , 美国 ,9.2,大时代中的人生，小人物的悲喜。
爱在黎明破晓前,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...,1995 , 美国 奥地利 瑞士 ,8.7,缘分是个连绵词，最美不过一瞬。
阿凡达,导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...,2009 , 美国 英国 ,8.6,绝对意义上的美轮美奂。
穿条纹睡衣的男孩,导演:马克·赫门MarkHerman   主演:阿沙·巴特菲尔德AsaButterfield/...,2008 , 英国 美国 ,8.9,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
风之谷,导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/松田洋治Y...,1984 , 日本 ,8.8,动画片的圣经。
爱在日落黄昏时,导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...,2004 , 美国 ,8.7,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
消失的爱人,导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙...,2014 , 美国 ,8.7,年度最佳date movie。
侧耳倾听,导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...,1995 , 日本 ,8.8,少女情怀总是诗。
萤火虫之墓,导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子,1988 , 日本 ,8.7,幸福是生生不息，却难以触及的远。 
超脱,导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西...,2011 , 美国 ,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。
倩女幽魂,导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW...,1987 , 香港 ,8.6,两张绝世的脸。 
驯龙高手,导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...,2010 , 美国 ,8.7,和谐的生活离不开摸头与被摸头。
红辣椒,导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/古谷彻T...,2006 , 日本 ,8.9,梦的勾结。
恐怖直播,导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y...,2013 , 韩国 ,8.7,恐怖分子的“秋菊打官司”。
菊次郎的夏天,导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus...,1999 , 日本 ,8.7,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
幸福终点站,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...,2004 , 美国 ,8.6,有时候幸福需要等一等。 
岁月神偷,导演:罗启锐AlexLaw   主演:吴君如SandraNg/任达华SimonYam/钟绍...,2010 , 香港 中国大陆 ,8.6,岁月流逝，来日可追。
七武士,导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/志村乔...,1954 , 日本 ,9.2,时代悲歌。
借东西的小人阿莉埃蒂,导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木...,2010 , 日本 ,8.7,曾经的那段美好会沉淀为一辈子的记忆。
神偷奶爸,导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud   主演:...,2010 , 美国 法国 ,8.5,Mr. I Don't Care其实也有Care的时候。
海洋,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...,2009 , 法国 瑞士 西班牙 美国 阿联酋 ,9.0,大海啊，不全是水。
真爱至上,导演:理查德·柯蒂斯RichardCurtis   主演:休·格兰特HughGrant/柯林...,2003 , 英国 美国 法国 ,8.5,爱，是个动词。
杀人回忆,导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/金相庆Sang-kyun...,2003 , 韩国 ,8.6,关于连环杀人悬案的集体回忆。
电锯惊魂,导演:詹姆斯·温JamesWan   主演:雷·沃纳尔LeighWhannell/加利·艾...,2004 , 美国 ,8.7,真相就在眼前。
小森林 夏秋篇,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...,2014 , 日本 ,8.9,那些静得只能听见呼吸的日子里，你明白孤独即生活。
谍影重重3,导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...,2007 , 美国 德国 ,8.7,像吃了苏打饼一样干脆的电影。
喜剧之王,导演:周星驰StephenChow/李力持Lik-ChiLee   主演:周星驰StephenCh...,1999 , 香港 ,8.5,我是一个演员。
贫民窟的百万富翁,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan   主演:戴夫...,2008 , 英国 美国 ,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
