shortName,fullName,city,companySize,positionName,education,workYear,jobNature,salary,formatCreateTime,address,description
iHandy,北京汉迪移动互联网科技股份有限公司,北京,150-500人,Python开发工程师,本科,1-3年,全职,15k-25k,2018-02-13,13号线_五道口;15号线_六道口;15号线_清华东路西口," """""
开拓天际,北京开拓天际科技有限公司,北京,50-150人,Python工程师,本科,3-5年,全职,15k-23k,2018-02-12,10号线_知春路;10号线_西土城;10号线_牡丹园;13号线_大钟寺;13号线_知春路," 年底双薪 股票期权 年终分红 节日礼物"
物灵,北京物灵智能科技有限公司,北京,150-500人,python研发工程师,本科,3-5年,全职,15k-30k,2018-02-12,15号线_望京东," 带薪年假 定期体检 年终分红 餐补"
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,资深Python开发工程师,本科,5-10年,全职,25k-35k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
小米,北京小米科技有限责任公司,北京,2000人以上,Python开发工程师,本科,3-5年,全职,25k-35k,2018-02-09,," 快速成长 免费班车 扁平管理 技能培训"
Yi+,北京陌上花科技有限公司,北京,15-50人,高级Python开发工程师,本科,3-5年,全职,20k-40k,2018-02-11,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;4号线大兴线_中关村;10号线_苏州街;10号线_海淀黄庄;10号线_知春里," 股票期权 岗位晋升 弹性工作 绩效奖金"
掌阅,掌阅科技股份有限公司,北京,500-2000人,Python研发工程师（中高级）,本科,3-5年,全职,15k-25k,2018-02-09,1号线_四惠东;八通线_四惠东;八通线_高碑店," 专项奖金 带薪年假 年度旅游 扁平管理"
博派通达,北京博派通达科技有限公司,北京,50-150人,Python,大专,1-3年,全职,10K-20K,2018-02-02,5号线_和平西桥;5号线_惠新西街南口;5号线_惠新西街北口;10号线_安贞门;10号线_惠新西街南口;10号线_芍药居;13号线_芍药居;13号线_光熙门," 年底双薪 股票期权 专项奖金 带薪年假"
店商互联,店商互联（北京）科技发展有限公司,北京,500-2000人,Python高级开发工程师,本科,3-5年,全职,15k-25k,2018-01-31,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;4号线大兴线_中关村;10号线_苏州街;10号线_海淀黄庄;10号线_知春里," 技能培训 年底双薪 节日礼物 绩效奖金"
汽车之家,北京车之家信息技术有限公司,北京,2000人以上,Python开发工程师,本科,3-5年,全职,15k-25k,2018-01-23,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里," 技能培训 节日礼物 带薪年假 绩效奖金"
